Holiday Name,Date
New Year's Day,01/01/2022
New Year's Day (Mondayised),03/01/2022
Day after New Year's Day,02/01/2022
Day after New Year's Day (Tuesdayised),04/01/2022
Waitangi Day,06/02/2022
Waitangi Day (Mondayised),07/02/2022
Good Friday,15/04/2022
Easter Monday,18/04/2022
Anzac Day,25/04/2022
Queen's Birthday,06/06/2022
Matariki,24/06/2022
Labour Day,24/10/2022
Christmas Day,25/12/2022
Christmas Day (Tuesdayised),27/12/2022
Boxing Day,26/12/2022
New Year's Day,01/01/2023
New Year's Day (Tuesdayised),03/01/2023
Day after New Year's Day,02/01/2023
Waitangi Day,06/02/2023
Good Friday,07/04/2023
Easter Monday,10/04/2023
Anzac Day,25/04/2023
Queen's Birthday,05/06/2023
Matariki,14/07/2023
Labour Day,23/10/2023
Christmas Day,25/12/2023
Boxing Day,26/12/2023
New Year's Day,01/01/2024
Day after New Year's Day,02/01/2024
Waitangi Day,06/02/2024
Good Friday,29/03/2024
Easter Monday,01/04/2024
Anzac Day,25/04/2024
Queen's Birthday,03/06/2024
Matariki,28/06/2024
Labour Day,28/10/2024
Christmas Day,25/12/2024
Boxing Day,26/12/2024
New Year's Day,01/01/2025
Day after New Year's Day,02/01/2025
Waitangi Day,06/02/2025
Good Friday,18/04/2025
Easter Monday,21/04/2025
Anzac Day,25/04/2025
Queen's Birthday,02/06/2025
Matariki,20/06/2025
Labour Day,27/10/2025
Christmas Day,25/12/2025
Boxing Day,26/12/2025
New Year's Day,01/01/2026
Day after New Year's Day,02/01/2026
Waitangi Day,06/02/2026
Good Friday,03/04/2026
Easter Monday,06/04/2026
Anzac Day,25/04/2026
Anzac Day (Mondayised),27/04/2026
Queen's Birthday,01/06/2026
Matariki,10/07/2026
Labour Day,26/10/2026
Christmas Day,25/12/2026
Boxing Day,26/12/2026
Boxing Day (Mondayised),28/12/2026
New Year's Day,01/01/2027
Day after New Year's Day,02/01/2027
Day after New Year's Day (Mondayised),04/01/2027
Waitangi Day,06/02/2027
Waitangi Day (Mondayised),08/02/2027
Good Friday,26/03/2027
Easter Monday,29/03/2027
Anzac Day,25/04/2027
Anzac Day (Mondayised),26/04/2027
Queen's Birthday,07/06/2027
Matariki,25/06/2027
Labour Day,25/10/2027
Christmas Day,25/12/2027
Christmas Day (Mondayised),27/12/2027
Boxing Day,26/12/2027
Boxing Day (Mondayised),28/12/2027
New Year's Day,01/01/2028
New Year's Day (Mondayised),03/01/2028
Day after New Year's Day,02/01/2028
Day after New Year's Day (Tuesdayised),04/01/2028
Waitangi Day,06/02/2028
Waitangi Day (Mondayised),07/02/2028
Good Friday,14/04/2028
Easter Monday,17/04/2028
Anzac Day,25/04/2028
Queen's Birthday,05/06/2028
Matariki,14/07/2028
Labour Day,23/10/2028
Christmas Day,25/12/2028
Boxing Day,26/12/2028
New Year's Day,01/01/2029
Day after New Year's Day,02/01/2029
Waitangi Day,06/02/2029
Good Friday,30/03/2029
Easter Monday,02/04/2029
Anzac Day,25/04/2029
Queen's Birthday,04/06/2029
Matariki,06/07/2029
Labour Day,22/10/2029
Christmas Day,25/12/2029
Boxing Day,26/12/2029
New Year's Day,01/01/2030
Day after New Year's Day,02/01/2030
Waitangi Day,06/02/2030
Good Friday,19/04/2030
Easter Monday,22/04/2030
Anzac Day,25/04/2030
Queen's Birthday,03/06/2030
Matariki,21/06/2030
Labour Day,28/10/2030
Christmas Day,25/12/2030
Boxing Day,26/12/2030
New Year's Day,01/01/2031
Day after New Year's Day,02/01/2031
Waitangi Day,06/02/2031
Good Friday,11/04/2031
Easter Monday,14/04/2031
Anzac Day,25/04/2031
Queen's Birthday,02/06/2031
Matariki,11/07/2031
Labour Day,27/10/2031
Christmas Day,25/12/2031
Boxing Day,26/12/2031
New Year's Day,01/01/2032
Day after New Year's Day,02/01/2032
Waitangi Day,06/02/2032
Good Friday,26/03/2032
Easter Monday,29/03/2032
Anzac Day,25/04/2032
Anzac Day (Mondayised),26/01/2032
Queen's Birthday,07/06/2032
Matariki,02/07/2032
Labour Day,25/10/2032
Christmas Day,25/12/2032
Christmas Day (Mondayised),27/12/2032
Boxing Day,26/12/2032
Boxing Day (Tuesdayised),28/12/2032
