Holiday Name,Date
Wellington Anniversary,24/01/2022
Auckland Anniversary,31/01/2022
Nelson Anniversary,31/01/2022
Taranaki Anniversary,14/03/2022
Otago Anniversary,21/03/2022
Southland Anniversary,19/04/2022
South Canterbury Anniversary,26/09/2022
Hawke's Bay Anniversary,21/10/2022
Marlborough Anniversary,31/10/2022
Canterbury Anniversary,11/11/2022
Westland Anniversary,28/11/2022
Chatham Islands Anniversary,28/11/2022
Wellington Anniversary,23/01/2023
Auckland Anniversary,30/01/2023
Nelson Anniversary,30/01/2023
Taranaki Anniversary,13/03/2023
Otago Anniversary,20/03/2023
Southland Anniversary,11/04/2023
South Canterbury Anniversary,25/09/2023
Hawke's Bay Anniversary,20/10/2023
Marlborough Anniversary,30/10/2023
Canterbury Anniversary,17/11/2023
Chatham Islands Anniversary,27/11/2023
Westland Anniversary,04/12/2023
Wellington Anniversary,22/01/2024
Auckland Anniversary,29/01/2024
Nelson Anniversary,29/01/2024
Taranaki Anniversary,11/03/2024
Otago Anniversary,25/03/2024
Southland Anniversary,02/04/2024
South Canterbury Anniversary,23/09/2024
Hawke's Bay Anniversary,25/10/2024
Marlborough Anniversary,04/11/2024
Canterbury Anniversary,15/11/2024
Westland Anniversary,02/12/2024
Chatham Islands Anniversary,02/12/2024
Wellington Anniversary,20/01/2025
Auckland Anniversary,27/01/2025
Nelson Anniversary,03/02/2025
Taranaki Anniversary,10/03/2025
Otago Anniversary,24/03/2025
Southland Anniversary,22/04/2025
South Canterbury Anniversary,22/09/2025
Hawke's Bay Anniversary,24/10/2025
Marlborough Anniversary,03/11/2025
Canterbury Anniversary,14/11/2025
Westland Anniversary,01/12/2025
Chatham Islands Anniversary,01/12/2025
Wellington Anniversary,19/01/2026
Auckland Anniversary,26/01/2026
Nelson Anniversary,02/02/2026
Taranaki Anniversary,09/03/2026
Otago Anniversary,23/03/2026
Southland Anniversary,07/04/2026
South Canterbury Anniversary,28/09/2026
Hawke's Bay Anniversary,23/10/2026
Marlborough Anniversary,02/11/2026
Canterbury Anniversary,13/11/2026
Westland Anniversary,30/11/2026
Chatham Islands Anniversary,30/11/2026
Wellington Anniversary,25/01/2027
Auckland Anniversary,01/02/2027
Nelson Anniversary,01/02/2027
Taranaki Anniversary,08/03/2027
Otago Anniversary,22/03/2027
Southland Anniversary,30/03/2027
South Canterbury Anniversary,27/09/2027
Hawke's Bay Anniversary,22/10/2027
Marlborough Anniversary,01/11/2027
Canterbury Anniversary,12/11/2027
Westland Anniversary,29/11/2027
Chatham Islands Anniversary,29/11/2027
Wellington Anniversary,24/01/2028
Auckland Anniversary,31/01/2028
Nelson Anniversary,31/01/2028
Taranaki Anniversary,13/03/2028
Otago Anniversary,20/03/2028
Southland Anniversary,18/04/2028
South Canterbury Anniversary,25/09/2028
Hawke's Bay Anniversary,20/10/2028
Marlborough Anniversary,30/10/2028
Canterbury Anniversary,17/11/2028
Chatham Islands Anniversary,27/11/2028
Westland Anniversary,04/12/2028
Wellington Anniversary,22/01/2029
Auckland Anniversary,29/01/2029
Nelson Anniversary,29/01/2029
Taranaki Anniversary,12/03/2029
Otago Anniversary,26/03/2029
Southland Anniversary,03/04/2029
South Canterbury Anniversary,24/09/2029
Hawke's Bay Anniversary,19/10/2029
Marlborough Anniversary,29/10/2029
Canterbury Anniversary,16/11/2029
Chatham Islands Anniversary,03/12/2029
Westland Anniversary,03/12/2029
Wellington Anniversary,21/01/2030
Auckland Anniversary,28/01/2030
Nelson Anniversary,04/02/2030
Taranaki Anniversary,11/03/2030
Otago Anniversary,25/03/2030
Southland Anniversary,23/04/2030
South Canterbury Anniversary,23/09/2030
Hawke's Bay Anniversary,25/10/2030
Marlborough Anniversary,04/11/2030
Canterbury Anniversary,15/11/2030
Chatham Islands Anniversary,02/12/2030
Westland Anniversary,02/12/2030
Wellington Anniversary,20/01/2031
Auckland Anniversary,27/01/2031
Nelson Anniversary,03/02/2031
Taranaki Anniversary,10/03/2031
Otago Anniversary,24/03/2031
Southland Anniversary,15/04/2031
South Canterbury Anniversary,22/09/2031
Hawke's Bay Anniversary,24/10/2031
Marlborough Anniversary,03/11/2031
Canterbury Anniversary,14/11/2031
Chatham Islands Anniversary,01/12/2031
Westland Anniversary,01/12/2031
Wellington Anniversary,19/01/2032
Auckland Anniversary,26/01/2032
Nelson Anniversary,02/02/2032
Taranaki Anniversary,08/03/2032
Otago Anniversary,22/03/2032
Southland Anniversary,30/03/2032
South Canterbury Anniversary,27/09/2032
Hawke's Bay Anniversary,22/10/2032
Marlborough Anniversary,01/11/2032
Canterbury Anniversary,12/11/2032
Chatham Islands Anniversary,29/11/2032
Westland Anniversary,29/11/2032
